i, X(i-1), X(i), a(i), b(i), c(i), d(i)
1,1.23795,1,0.634581,-1.04242,1.41287,5.93757
2,1.47591,1.23795,0.418452,-0.808101,0.556587,-3.59852
3,1.71386,1.47591,0.242029,-0.674256,0.568375,0.0495367
4,1.95182,1.71386,0.0966466,-0.552013,0.459068,-0.459362
5,2.18977,1.95182,-0.0219942,-0.446349,0.429033,-0.126222
6,2.42773,2.18977,-0.11626,-0.346794,0.407728,-0.0895327
7,2.66568,2.42773,-0.187729,-0.255965,0.355684,-0.218715
8,2.90364,2.66568,-0.237772,-0.161297,0.439994,0.354314
9,3.14159,2.90364,-0.267849,-0.108948,0,-1.84907
